Project_ID,Year,Municipality,Target_Seedlings,Planted_Seedlings,Survival_Rate,Funding_PHP,Rainfall_mm,Temperature_C,Monitoring_Visits,Soil_Type,Pest_Incidents,Fire_Incidents,Project_Status
P0001,2022,Talacogon,9802,11432,0.8986734620177331,944959,1423,24.991402741251243,7,Peat,1,1,Successful
P0002,2017,Hinatuan,4505,4379,0.521086956798837,161898,3013,29.171619252280376,0,Sandy,5,4,Failed
P0003,2022,Cortes,7929,6344,0.5214267476425536,1230328,2751,32.04102947925073,2,Clay,5,3,Moderate
P0004,2019,Rosario,2761,2784,0.5555203296703929,459580,1532,30.433099966664397,4,Peat,2,1,Moderate
P0005,2015,Bislig,4236,4538,0.6895385625006234,1837783,2563,27.10540622539935,7,Peat,0,1,Successful
P0006,2021,Bislig,7216,7713,0.8972756845267446,809644,2650,28.270730159097052,12,Silt,2,0,Successful
P0007,2019,Lingig,5375,5163,0.8465416823691779,968594,3114,25.999035767822235,5,Clay,2,0,Successful
P0008,2020,Rosario,9421,6917,0.5917704411049249,428255,1308,30.349134223913378,1,Silt,3,3,Failed
P0009,2020,Lanuza,4878,4319,0.4446012307384314,711954,2655,28.68334186194534,1,Sandy,4,1,Moderate
P0010,2022,Trento,8315,9648,0.504639052117814,139488,1671,30.921924739203384,4,Sandy,2,0,Moderate
P0011,2023,Lanuza,3951,3920,0.8031445922525573,431516,1598,29.917945306097373,4,Loam,0,0,Successful
P0012,2016,Veruela,8116,7865,0.4105085352816079,594405,2234,31.234943455514113,0,Peat,6,0,Failed
P0013,2023,Trento,3300,2753,0.28980653074333146,271419,2574,29.094131106134743,0,Clay,4,1,Failed
P0014,2025,Rosario,8833,7810,0.6927038909546299,677591,3952,29.354555735975318,7,Clay,1,1,Successful
P0015,2024,Bunawan,5910,6782,0.8681407528923571,362083,1680,27.270078834492384,12,Silt,1,1,Successful
P0016,2023,Barobo,1955,2019,0.8521135362545582,445073,2819,24.795214078217167,4,Silt,1,0,Successful
P0017,2024,Rosario,7392,8084,0.6883725899436275,225352,2154,26.491780520222655,3,Clay,2,0,Successful
P0018,2024,Lanuza,6308,5848,0.7126531361326596,528308,2470,28.711317459460812,3,Silt,1,1,Moderate
P0019,2021,Talacogon,7296,7406,0.6904238451035924,364787,1117,30.775539459161863,6,Loam,1,1,Moderate
P0020,2015,Barobo,5296,4364,0.7934296497247794,484398,1642,27.041179569607117,20,Peat,2,1,Successful
P0021,2021,Rosario,5593,5887,0.5595517434851244,541703,1534,25.477003221900986,0,Loam,2,1,Moderate
P0022,2024,Rosario,1825,1667,0.8354057771115907,1347407,2447,27.641854208242048,18,Sandy,2,0,Successful
P0023,2019,Talacogon,5476,5044,0.6938296929743742,2500000,2015,27.78364010014138,6,Clay,1,0,Successful
P0024,2020,Rosario,9905,10149,0.7830031479164082,323752,2795,27.964594072256883,8,Loam,1,0,Successful
P0025,2024,Barobo,1659,1937,0.2917139746468984,1396146,2616,30.799678789886077,5,Loam,1,1,Moderate
P0026,2021,Lianga,5150,3769,0.44270379037041097,614481,2159,32.54730810022475,1,Silt,2,1,Failed
P0027,2019,Bunawan,5487,6103,0.623850677755814,557933,3371,26.014472819045835,4,Silt,0,0,Successful
P0028,2021,San Francisco,5197,4397,0.7304103794114799,665767,2249,26.95964135487764,4,Silt,3,0,Moderate
P0029,2023,Bunawan,840,774,0.5103855887240261,404704,1269,25.899503222611315,14,Sandy,2,1,Moderate
P0030,2017,Cagwait,4328,3077,0.7588333018068824,1172296,3218,29.24703917570119,26,Loam,2,0,Successful
P0031,2022,Cortes,2468,2099,0.4746719312698594,1837228,1636,32.12205027084429,4,Peat,1,1,Moderate
P0032,2016,Lingig,1203,1144,0.7511961126077924,1628354,2946,26.71229518022769,10,Silt,1,0,Successful
P0033,2025,Rosario,5982,4355,0.9218531345148037,1509014,3344,26.896423588187517,6,Sandy,1,0,Successful
P0034,2021,Lianga,6876,6501,0.05,220184,2074,33.66695639224744,5,Sandy,5,2,Failed
P0035,2016,Trento,2300,2676,0.4987751540523463,111859,902,31.26389463303752,2,Silt,9,4,Failed
P0036,2018,Rosario,5963,4488,0.36732328735423914,257118,1249,31.090589262002638,1,Clay,8,3,Failed
P0037,2021,Lanuza,5412,5856,0.6592978352142784,2500000,3193,24.522708735065684,12,Loam,1,0,Successful
P0038,2017,Hinatuan,5148,4658,0.6724687606950762,320182,2298,29.196820173198546,12,Silt,1,0,Successful
P0039,2016,Lianga,1355,1392,0.7511671632649843,262333,2047,26.177159148725604,1,Peat,1,2,Moderate
P0040,2025,Talacogon,3366,2794,0.4365391744068723,627801,2455,25.664949535162606,0,Loam,4,0,Moderate
P0041,2024,Lianga,682,531,0.6646649489404041,477878,2817,26.63307105808322,7,Sandy,3,0,Successful
P0042,2021,Cagwait,3612,2818,0.6864777450837676,316639,2167,27.035518191378273,5,Peat,3,0,Moderate
