Tree_ID,Species,Barangay,Municipality,Latitude,Longitude,Age_Years,Height_m,Diameter_cm,Soil_Type,Survival_Status
T0001,Yakal,Libertad,Bunawan,8.37454,126.426071,11,20.5,26.9,Sandy,Alive
T0002,Gmelina,Salvacion,Talacogon,8.099975,125.688873,5,11.4,12.5,Clay,Alive
T0003,Yakal,Libertad,San Francisco,8.96991,126.248664,6,13,16.3,Sandy,Alive
T0004,Molave,Libertad,Bislig,8.023062,125.787162,15,26.4,31.5,Loam,Alive
T0005,Narra,San Roque,Bunawan,8.45607,126.177764,3,5.6,6.5,Clay,Dead
T0006,Mahogany,San Roque,Bislig,8.85994,126.020461,9,15.3,19.2,Clay,Alive
T0007,Yakal,Sta. Cruz,Talacogon,8.440152,125.183057,13,22.8,29.4,Loam,Alive
T0008,Molave,San Isidro,Rosario,8.182236,126.133042,14,29.4,33.2,Clay,Alive
T0009,Bagras,Patin-ay,San Francisco,8.969585,126.162699,2,4.6,4.1,Loam,Dead
T0010,Gmelina,San Isidro,Talacogon,8.326541,125.855666,12,21.4,25.8,Clay,Alive
T0011,Bagras,Poblacion,Bunawan,8.271349,126.243106,10,18.1,22.8,Clay,Alive
T0012,Acacia,Libertad,Loreto,8.296274,125.2479,9,17.1,21.6,Loam,Alive
T0013,Molave,San Isidro,Rosario,8.77127,125.111067,7,13.6,15.9,Clay,Dead
T0014,Yakal,Taglatawan,Bislig,8.449451,125.143115,7,10.9,13,Clay,Alive
T0015,Acacia,Libertad,Bislig,8.637557,126.330819,1,2.3,2,Loam,Dead
T0016,Bagras,Poblacion,Bislig,8.72173,125.353977,14,30.3,29,Clay,Alive
T0017,Yakal,Libertad,Bunawan,8.025419,125.161837,15,26.9,34.9,Sandy,Alive
T0018,Mahogany,San Isidro,Bunawan,8.695516,125.208997,7,14.8,14.4,Clay,Alive
T0019,Bagras,Libertad,Prosperidad,8.07698,125.434627,6,11.2,15,Loam,Alive
